Team,Goals,xG,Total shots,Shots on target,SOT %,Total passes,Accurate passes,Pass accuracy %,Possession,Total losses,Low losses,Med Losses,High losses,Total recoveries,Low recoveries,Med recoveries,High recoveries,Total duels,Duels won,Duels success %,Total shots outside box,SOT outside box,SOT outside box %,Total positional attacks,Positional attacks leading to shot,Positional attacks leading to shot %,Total counterattacks,Counterattacks leading to shot,Counterattacks leading to shot %,Total set pieces,Total set pieces with shots,Set piece shot %,Total corners,Total corners with shots,Corner shot %,Total free kicks,Total free kicks with shots,Free kick shot %,Total penalties,Penalties scored,Penalty conversion %,Total crosses,Successful crosses,Cross accuracy %,Deep completed crosses,Deep completed passes,Total box entries,Box entry via run,Box entry via cross,Penalty area touches,Total offensive duels,Offensive duels won,Offensive duels success %,Offsides,Conceded goals,Total shots against,SOT against,SOT against %,Total Def duels,Successful def duels,Def duel success %,Total aerial duels,Successful aerial duels,Aerial duel success %,Total sliding tackles,Successful sliding tackles,Sliding tackle success %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Total forward passes,Successful forward passes,Forward pass success %,Total back passes,Successful back passes,Back pass success %,Total lateral passes,Successful lateral passes,Lateral pass success %,Total long passes,Successful long passes,Long pass success %,Total final third passes,Successful final third passes,Final third pass success %,Total progressive passes,Successful progressive passes,Progressive pass success %,Total smart passes,Successful smart passes,Smart pass success %,Total throws in,Accurate throw ins,Throw in success %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Oppo Goals,Oppo xG,Oppo Total shots,Oppo Shots on target,Oppo SOT %,Oppo Total passes,Oppo Accurate passes,Oppo Pass accuracy %,Oppo Possession,Oppo Total losses,Oppo Low losses,Oppo Med Losses,Oppo High losses,Oppo Total recoveries,Oppo Low recoveries,Oppo Med recoveries,Oppo High recoveries,Oppo Total duels,Oppo Duels won,Oppo Duels success %,Oppo Total shots outside box,Oppo SOT outside box,Oppo SOT outside box %,Oppo Total positional attacks,Oppo Positional attacks leading to shot,Oppo Positional attacks leading to shot %,Oppo Total counterattacks,Oppo Counterattacks leading to shot,Oppo Counterattacks leading to shot %,Oppo Total set pieces,Oppo Total set pieces with shots,Oppo Set piece shot %,Oppo Total corners,Oppo Total corners with shots,Oppo Corner shot %,Oppo Total free kicks,Oppo Total free kicks with shots,Oppo Free kick shot %,Oppo Total penalties,Oppo Penalties scored,Oppo Penalty conversion %,Oppo Total crosses,Oppo Successful crosses,Oppo Cross accuracy %,Oppo Deep completed crosses,Oppo Deep completed passes,Oppo Total box entries,Oppo Box entry via run,Oppo Box entry via cross,Oppo Penalty area touches,Oppo Total offensive duels,Oppo Offensive duels won,Oppo Offensive duels success %,Oppo Offsides,Oppo Conceded goals,Oppo Total shots against,Oppo SOT against,Oppo SOT against %,Oppo Total Def duels,Oppo Successful def duels,Oppo Def duel success %,Oppo Total aerial duels,Oppo Successful aerial duels,Oppo Aerial duel success %,Oppo Total sliding tackles,Oppo Successful sliding tackles,Oppo Sliding tackle success %,Oppo Interceptions,Oppo Clearances,Oppo Fouls,Oppo Yellow cards,Oppo Red cards,Oppo Total forward passes,Oppo Successful forward passes,Oppo Forward pass success %,Oppo Total back passes,Oppo Successful back passes,Oppo Back pass success %,Oppo Total lateral passes,Oppo Successful lateral passes,Oppo Lateral pass success %,Oppo Total long passes,Oppo Successful long passes,Oppo Long pass success %,Oppo Total final third passes,Oppo Successful final third passes,Oppo Final third pass success %,Oppo Total progressive passes,Oppo Successful progressive passes,Oppo Progressive pass success %,Oppo Total smart passes,Oppo Successful smart passes,Oppo Smart pass success %,Oppo Total throws in,Oppo Accurate throw ins,Oppo Throw in success %,Oppo Goal kicks,Oppo Match tempo,Oppo Average passes per possession,Oppo Long pass %,Oppo Average shot distance,Oppo Average pass length,Oppo PPDA
Wimbledon,1.46,1.15,9.31,2.85,30.58,321.46,242.31,75.38,41.36,132.77,25.54,48.69,58.54,96.31,43.77,39.62,12.92,233.23,107.54,46.11,3.54,0.46,13.04,26.38,5.23,19.83,0.38,0.304,80,22.69,3.076764,13.56,3.46,0.69,20,2.85,1.08,37.84,0.23,0.23,100,11.77,4.23,35.95,4.15,4.62,19.69,2.08,8.31,11.46,57.31,18.54,32.35,2.08,1.08,10.54,3.31,31.39,66.85,44.23,66.17,63.15,26.31,41.66,2.31,1.38,60,44.23,22.77,12.62,1.46,0.08,142.15,90.15,63.42,53.46,50.62,94.68,74.54,60.38,81.01,64.92,33.38,51.42,58.92,34.69,58.88,77.62,54.31,69.97,0.38,0.15,40,24.85,21.54,86.69,8.77,16.66,2.94,20.52,18.49,21.12,11.82,1.08,1.23,10.54,2.85,27.01,445.85,357.85,80.26,58.64,137,20.77,49.46,66.77,98.77,43.62,40.62,14.54,233.23,109.69,47.03,4.08,0.77,18.87,30,6.92,23.08,0.31,0.2325,75,25.92,2.998944,11.57,5.15,1.46,28.36,3.15,0.69,21.95,0,0,0,16.38,5.23,31.92,5.38,6.54,25.69,2.77,10.31,16.62,66.85,22.62,33.83,1.77,1.46,9.31,3,32.23,57.31,38.77,67.65,63.15,30.54,48.36,2.38,1.15,48.39,31,15.62,11,1.23,0.08,163.38,108.31,66.29,64.15,60.38,94.12,158.46,141.92,89.56,61.15,29.62,48.43,63.15,37.08,58.71,81.54,58.46,71.7,0.46,0.23,50,27.31,23.77,87.04,7.54,16.04,3.96,14.45,17.33,20.76,10.23
Barnsley,1.64,1.25,10.18,3.73,36.61,475.91,390.27,82.01,56.37,127.27,26.36,47.27,53.64,92.45,42.36,38.27,11.82,201.27,94.91,47.15,4.82,1.55,32.08,27.82,6.91,24.84,0.45,0.27,60,25.18,2.273754,9.03,4.82,0.64,13.21,2,0.09,4.55,0.09,0.09,100,12.45,2.91,23.36,3.27,6.55,22.36,4.18,6.27,16.64,61.91,23.45,37.89,2.18,1.45,11.91,4,33.59,53.18,33.64,63.25,51.91,23.82,45.88,1.73,0.91,52.63,41.09,19.64,11.73,2.09,0.09,167.09,113.91,68.17,87.55,83.36,95.22,145.73,129.18,88.65,61.64,30,48.67,58.73,34.36,58.51,72.64,49.18,67.71,1,0.27,27.27,24.27,21.27,87.64,7.73,17.62,4.39,13.26,19.14,19.31,9.98,1.45,1.73,11.91,3.91,32.82,351.64,271.36,77.17,43.63,126.91,22.82,47.45,56.64,89.27,38.82,36.64,13.82,201.27,93.45,46.43,4.82,1.45,30.19,25.64,7,27.3,0.82,0.64,77.78,25.36,3.55,13.98,5.64,1.64,29.03,3.36,0.82,24.32,0.09,0.09,100,16.55,6.18,37.36,6.18,5.91,25.09,3.09,9.73,17.45,53.18,19.55,36.75,2.18,1.64,10.18,3.91,38.39,61.91,38.45,62.11,51.91,22.27,42.91,3.91,2.36,60.47,43.09,16,11.82,1.82,0.09,141.64,90.73,64.06,53.82,50.55,93.92,109.18,94.09,86.18,56.82,27.36,48.16,51.82,30.09,58.07,72.91,49.64,68.08,1.18,0.36,30.77,22.73,19.55,86,7.36,16.79,3.27,16.7,16.45,21.65,11.85
Blackpool,0.85,0.75,8.23,2.23,27.1,370.31,284.85,76.92,45.62,131,29.38,47.38,54.23,94.77,46.69,37,11.08,220.54,104.69,47.47,3.31,0.92,27.91,25,4.69,18.77,1.08,0.771444,71.43,23.85,2.540025,10.65,3,0.85,28.21,2.85,0.77,27.03,0,0,0,13.46,3.38,25.14,3.38,5.31,21.62,3.31,7.54,13.69,60.69,22.85,37.64,2.08,1.62,12.54,4,31.9,62.92,39.85,63.33,52.54,24.85,47.29,3.54,1.85,52.17,42.23,21.54,11.23,1.46,0.08,139.38,86.62,62.14,52.77,49.38,93.59,125.77,108.85,86.54,60.92,26.92,44.19,48.62,25.38,52.22,69.77,42.46,60.86,1,0.54,53.85,27.77,23.77,85.6,8.92,15.92,3.32,17.03,17.9,21.13,13.78,1.62,1.57,12.54,3.92,31.29,470.23,381.46,81.12,54.38,133.92,20.77,45.69,67.46,95.92,40.62,39.31,16,220.54,101.92,46.22,5.15,1.23,23.88,34.31,8.08,23.54,0.62,0.46,75,21.77,3.15,14.49,4.23,1.08,25.45,2.38,0.92,38.71,0.31,0.23,75,19,5.85,30.77,5.69,7.69,28.69,5.38,10.69,22.38,62.92,23.08,36.67,1.15,0.85,8.23,2.31,28.04,60.69,37.85,62.36,52.54,23.69,45.1,2.62,1.08,41.18,41.23,17.92,12.54,1.31,0,165.62,114.23,68.97,71.23,67.38,94.6,159.38,139.54,87.55,60.77,29.23,48.1,68.15,43.38,63.66,81.08,59.85,73.81,1.15,0.54,46.67,29,25.54,88.06,5.77,16.78,4.19,14.19,18.41,20.12,9.74
Bolton,1.38,1.63,15.46,5.31,34.33,469.23,390.23,83.16,58.49,120.62,19.08,43.85,57.69,86.15,38.69,34.77,12.69,214.23,101.77,47.5,6.38,1.62,25.3,31.69,9.77,30.83,1.46,0.845194,57.89,27.62,4.463392,16.16,6.69,1.77,26.44,2.77,0.62,22.22,0,0,0,17.85,5.92,33.19,6.15,7.15,28.54,6.15,10.08,23.69,75.54,28.92,38.29,2,1.15,6.92,2.23,32.22,58.15,36.38,62.57,49.15,23.77,48.36,3.31,1.77,53.49,39.92,16.85,11.38,1.62,0,159.69,115.85,72.54,66.92,63.31,94.6,181.85,163.23,89.76,52.69,25.69,48.76,61.38,39.92,65.04,75.38,55.15,73.16,0.92,0.23,25,26.54,25.31,95.36,5.85,16.39,4.17,11.63,17.97,20.69,8.01,1.15,1.04,6.92,2.23,32.22,312.15,237.23,76,41.51,120.85,23.23,44.15,53.46,86.23,40.85,33.77,11.62,214.23,101.69,47.47,2.15,0.38,17.86,23.85,4,16.77,0.62,0.23,37.5,24.46,2.08,8.49,4,0.69,17.31,2.46,0.92,37.5,0.15,0.08,50,12.62,3.69,29.27,3.77,3.38,19.38,3.08,8.08,11.38,58.15,21.77,37.43,3.15,1.38,15.46,5.54,35.82,75.54,46.62,61.71,49.15,20.85,42.41,4.31,2.46,57.14,39.92,23.38,12.77,2.31,0.08,126.54,77.69,61.4,53.38,50.08,93.8,88.85,75.69,85.19,51.54,22.85,44.33,48.23,25.08,51.99,62.08,39.54,63.69,0.85,0.31,36.36,23.54,19.31,82.03,9.15,15.53,2.89,17.4,16.94,21.75,13.12
Bradford,1.83,1.88,12.58,4.58,36.42,327.17,235.42,71.96,45.73,135.75,20.83,53.17,61.75,97.08,41,42.17,13.92,224.75,111.83,49.76,4.58,1.33,29.09,27.92,6.67,23.88,1.25,1,80,24.5,4.33405,17.69,5.42,2.17,40,1.83,0.58,31.82,0.08,0.08,100,18.58,7,37.67,6.67,6.5,27.08,3.67,11.58,20.33,56.75,22.08,38.91,1.92,1.25,10.67,3.92,36.72,69.92,44.83,64.12,61.25,28.75,46.94,3.75,2,53.33,40,21.5,12.67,2.25,0,143.42,87.08,60.72,48.75,45.58,93.5,86.83,68.83,79.27,63.92,30.33,47.46,56.83,29.75,52.35,74.5,48.92,65.66,0.67,0.33,50,26.33,22.08,83.86,7.75,15.99,2.88,19.66,16.49,21.54,9.8,1.25,1.07,10.67,3.83,35.94,418.75,332.92,79.5,54.27,140.42,25.58,56.58,58.25,97.92,45.67,40.58,11.67,224.75,101.75,45.27,4.5,1.67,37.04,28.33,6.75,23.82,0.67,0.33,50,29.25,3.33,11.4,6.5,0.92,14.1,2.67,0.58,21.88,0,0,0,15.58,5.25,33.69,5.17,7.75,24.67,3.67,9.33,16.17,69.92,25.08,35.88,1.17,1.83,12.58,4.67,37.09,56.75,34.67,61.09,61.25,27.58,45.03,2.17,0.92,42.31,41.08,20.17,12.17,2.08,0,168.33,115.5,68.61,64.25,60.67,94.42,129.58,112.08,86.5,57.5,28.08,48.84,61.08,37.42,61.26,85.33,59.58,69.82,0.83,0.67,80,28.33,24.75,87.35,9.17,16.99,3.55,14.89,19.75,20.56,8.55
Burton,0.83,1.47,11.75,3.5,29.79,325.17,243.83,74.99,45.19,136.42,29.33,41.42,65.67,93.17,42.08,34.92,16.17,227.33,108.17,47.58,4.33,0.75,17.31,26.92,6.83,25.39,0.5,0.25,50,26.25,4.165875,15.87,5.5,1.42,25.76,3.75,1.33,35.56,0.17,0.17,100,17.17,5.58,32.52,5.5,6.08,25.17,3.92,11,18.5,59.5,22.67,38.1,1,1.33,12.5,4.58,36.67,62.92,39.42,62.65,62.83,28.75,45.76,1.58,0.92,57.89,46.92,21.58,11.67,1.5,0,130.5,81.5,62.45,49.92,45.17,90.48,98.25,83.42,84.9,52.33,24.67,47.13,58,34.5,59.48,69.83,48.42,69.33,0.25,0.08,33.33,23.25,16,68.82,9.92,15.28,2.96,17.78,16.94,21.9,10.64,1.33,1.48,12.5,4.5,36,403.75,319,79.01,54.81,130.17,29.08,41.92,59.17,94.58,45.75,33.75,15.08,227.33,106.42,46.81,4.58,1.25,27.27,31,7.75,25,0.75,0.33,44.44,25.58,4.08,15.96,5.75,1.83,31.88,2.5,0.42,16.67,0,0,0,18.08,5.92,32.72,5.92,8.25,28.5,3.75,10.33,22,62.92,23.5,37.35,2.08,0.83,11.75,3.67,31.21,59.5,36.83,61.9,62.83,28.5,45.36,3.33,1.5,45,45.42,23.75,11.17,1.83,0.25,152.83,102.25,66.9,58,55.08,94.97,135.75,118.08,86.99,52.83,25.58,48.42,62.33,38.58,61.9,75.83,53.42,70.44,0.17,0.08,50,23.25,19.42,83.51,9.33,15.81,3.67,13.91,17.32,20.88,10.08
Cardiff,1.75,1.33,12.58,4.42,35.1,491.5,418.58,85.16,63.44,116.83,26.25,40.92,49.67,87.58,39.67,35.25,12.67,212.58,98.67,46.41,4.42,1.33,30.19,33,8.83,26.77,0.5,0.25,50,24.67,2.834583,11.49,4.92,1.08,22.03,2.17,0.58,26.92,0.08,0.08,100,14.92,5,33.52,4.58,10.5,26.33,4.92,8.42,21.75,77,28.75,37.34,1.42,0.83,13.5,4.25,31.48,53.42,33.92,63.49,45.08,21.5,47.69,1.75,0.75,42.86,33.5,16.17,10.92,1.92,0,163.08,123.67,75.83,84.67,80.33,94.88,168.08,150.92,89.79,45.67,25.33,55.47,60.75,45.08,74.21,81.17,59,72.69,1.17,0.67,57.14,24.08,20.92,86.85,7.83,15.55,4.72,9.93,17.87,19.68,8.55,0.83,1.37,13.5,4.25,31.48,292,218.67,74.89,36.56,112.25,20.42,39.67,52.17,83.75,36.25,33,14.5,212.58,103.5,48.69,5.17,1.08,20.97,26.75,7.92,29.6,0.25,0.08,33.33,24.5,4.92,20.07,5.33,2.58,48.44,3.08,0.5,16.22,0.25,0.25,100,13.17,4.67,35.44,5,6.08,21.75,3.92,7.67,17.17,53.42,19.5,36.51,1.42,1.75,12.58,4.58,36.42,77,48.25,62.66,45.08,20,44.36,3.67,2.17,59.09,42.42,18.33,11.75,1.92,0.08,126,81.42,64.62,46,42.92,93.3,73.17,60.08,82.12,45.67,22.67,49.64,46.92,26.42,56.31,66.83,45.92,68.7,0.83,0.33,40,20.75,18.58,89.56,9.42,16.09,2.81,16.13,18.55,20.59,12.23
Doncaster,0.92,1.26,11.38,2.46,21.62,413.23,323.46,78.28,55.17,132.69,23.15,45.77,63.77,98.31,41.92,41.38,15,235.15,113.85,48.41,4,0.62,15.38,29.92,6.38,21.34,0.92,0.383364,41.67,25.46,4.076146,16.01,4.77,1.46,30.65,2.92,1.15,39.47,0.08,0.08,100,20.31,6.85,33.71,6.38,6.38,27.92,4.15,11.77,19.15,67.46,24.31,36.03,1.54,1.38,9.69,3.77,38.89,68.77,45.08,65.55,58.77,28.08,47.77,2.77,1.23,44.44,42,21.15,10.15,1.38,0,150.54,97.46,64.74,61.23,57.62,94.1,148.92,128.92,86.57,61.54,28.85,46.88,60.54,34.15,56.42,79.46,56.08,70.57,0.31,0.15,50,25.15,22,87.46,7.31,16.38,3.71,15.33,17.97,21.78,9.24,1.38,1.44,9.69,3.69,38.1,316.38,238.69,75.44,44.83,130.38,26.23,45.92,58.23,91.77,43.54,36.08,12.15,235.15,108.23,46.03,3.62,1.15,31.91,27.69,4.46,16.11,1.08,0.46,42.86,26.15,4.15,15.88,5.85,1.69,28.95,2.54,0.85,33.33,0.31,0.15,50,18.69,7.08,37.86,7.31,5.92,24.62,3.77,10.77,16.92,68.77,23.69,34.45,2.15,0.92,11.38,2.69,23.65,67.46,43.15,63.97,58.77,25.15,42.8,3.77,2.31,61.22,45.46,23.31,12.15,1.54,0,135.23,89.15,65.93,51.38,47,91.47,81.54,65.69,80.57,59.46,32.08,53.95,50.38,29.08,57.71,75.15,51.69,68.78,0.38,0.15,40,27.77,22.92,82.55,10.62,15.61,2.87,19.07,16.19,22.11,10.65
Exeter,0.92,0.9,7.46,2.77,37.11,437.54,350,79.99,50.94,128.23,26.23,46.85,55.15,89.85,45.15,34.08,10.62,203,93.92,46.27,2.62,0.62,23.53,24.62,4.31,17.5,0.23,0.076659,33.33,24.62,2.846072,11.56,4.38,1.15,26.32,1.85,0.46,25,0.08,0.08,100,16.77,5.92,35.32,5.85,5.69,22.62,2.08,10.38,13.85,49.08,18.08,36.83,2.85,1.08,11.38,3.23,28.38,65.08,39.92,61.35,53.85,22.38,41.57,2.46,0.62,25,43.62,19,12.62,1.54,0,159,108.38,68.17,70.92,65,91.65,139.08,121,87,62.77,31.54,50.25,55.62,33.31,59.89,83.85,54.15,64.59,0.69,0.38,55.56,26.92,25.15,93.43,9.54,17.19,3.94,14.8,16.89,20.3,11.46,1.08,1.29,11.38,3.08,27.03,414.62,331.46,79.94,49.06,124.23,20.38,42.62,61.23,89.92,37.77,38.08,14.08,203,96.38,47.48,4.23,0.62,14.55,29.77,6.54,21.96,0.92,0.77,83.33,26.54,3.92,14.78,5.31,1.85,34.78,2.31,0.46,20,0.08,0.08,100,17.46,5.85,33.48,5.92,6.69,26.31,4.54,9.69,20.08,65.08,25.15,38.65,1.69,0.92,7.46,2.92,39.18,49.08,31,63.17,53.85,25.92,48.14,2,1.31,65.38,41.38,17,10.31,1.15,0,146,97.31,66.65,55.31,51.77,93.6,156.77,138.62,88.42,55.77,26.62,47.72,57.08,32,56.06,70.69,49.77,70.4,0.77,0.08,10,26.62,23.46,88.15,7.38,16.94,3.71,14.33,17.1,20.89,13.02
Huddersfield,1.5,1.33,11.83,4.17,35.21,435,350.92,80.67,54.04,122.33,22.92,42.33,57.08,87.67,41.75,35.17,10.75,196.42,99.17,50.49,4.83,1.25,25.86,26.83,6.17,22.98,1.33,1.080625,81.25,28.58,4.166964,14.58,7.83,2.08,26.6,1.92,0.42,21.74,0.17,0.17,100,16.17,4.83,29.9,5,8.25,27.75,5.08,9.67,20.42,58.33,24.08,41.29,2.67,1.25,9.5,4,42.11,63,39.08,62.04,43.33,21.58,49.81,3.25,1.83,56.41,36.5,16.5,12.42,2.08,0.08,162.33,111.75,68.84,59.08,55.92,94.64,147.92,129.58,87.61,51.75,23.92,46.22,56.25,33,58.67,71.17,48.17,67.68,0.75,0.17,22.22,24.25,21.75,89.69,6.5,16.19,3.97,12.63,17.9,19.9,10.75,1.25,1.1,9.5,4,42.11,369.75,296.5,80.19,45.96,118.5,24.33,41,53.17,86.33,40.75,32.58,13,196.42,88.17,44.89,3.25,1,30.77,27.67,6.08,21.99,0.5,0.17,33.33,24.92,2.92,11.71,4.08,1.08,26.53,2.67,0.67,25,0.08,0.08,100,14.58,5.25,36,5,5.92,22.58,3.5,9.5,16.5,63,23.92,37.96,1.25,1.5,11.83,4.17,35.21,58.33,34.25,58.71,43.33,18.25,42.12,2.5,1.33,53.33,43.42,23.75,13.58,1.75,0.17,135.5,92.67,68.39,59.17,55.67,94.08,119.33,103.33,86.59,52.92,25,47.24,48.67,27.5,56.51,65.33,45.33,69.39,1.17,0.5,42.86,22.08,19.42,87.92,7.75,16.39,3.48,15.03,16.84,20.51,10.73
Leyton Orient,1.54,1.44,11.77,4.31,36.6,417.92,331.23,79.26,54.35,136,21.38,51.77,62.85,98.31,40.62,45.08,12.62,237.38,110.23,46.44,4.23,1.23,29.09,29.69,6.77,22.8,1.15,0.766705,66.67,21.69,3.845637,17.73,5.15,1.46,28.36,2.62,0.85,32.35,0,0,0,12.69,3.62,28.48,3,6.08,21.92,4.69,5.85,18.15,70.15,22.85,32.57,1.38,1.77,10.69,5,46.76,64.46,42.69,66.23,55.62,25.23,45.37,2.15,1.08,50,43.85,20.85,11.69,1.92,0.08,161.38,105.54,65.4,61.46,57.69,93.87,129.31,114.38,88.46,57.38,26.38,45.98,60.31,32.85,54.46,70.31,49.69,70.68,1.46,0.77,52.63,28.38,23.69,83.47,8.08,16.56,3.68,14.57,17.26,19.85,7.74,1.77,1.45,10.69,4.85,45.32,317.85,233.15,73.35,45.65,137.46,25.31,54.46,57.69,99.38,44.23,42.23,12.92,237.38,112.31,47.31,3.08,1.15,37.5,27.15,5.85,21.53,1,0.46,46.15,24.23,4,16.51,5,1.85,36.92,2.92,0.54,18.42,0.08,0.08,100,13.08,3.92,30,3.85,5.15,20.92,4.38,7.62,17.54,64.46,21.77,33.77,1.62,1.54,11.77,4.54,38.56,70.15,47.31,67.43,55.62,26.31,47.3,4.23,2.31,54.55,45.23,19.69,8.54,1.85,0.08,138.69,86.77,62.56,47.62,43.69,91.76,88.92,73.23,82.35,56.08,28.08,50.07,51.54,28.54,55.37,74.08,47.69,64.38,0.54,0.15,28.57,32,25.69,80.29,7.31,15.15,2.72,18.36,16.72,21.88,11.59
